state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Andhra Pradesh,23 February,-3.0,-6.0,18.0,0.0,-31.0,6.0,-10.0
Andhra Pradesh,24 February,0.0,-1.0,4.0,4.0,6.0,0.0,2.25
Andhra Pradesh,25 February,1.0,0.0,5.0,2.0,5.0,0.0,2.0
Andhra Pradesh,26 February,0.0,-2.0,6.0,2.0,2.0,-1.0,0.5
Andhra Pradesh,27 February,1.0,0.0,4.0,2.0,4.0,0.0,1.75
Andhra Pradesh,28 February,0.0,-2.0,4.0,1.0,5.0,1.0,1.0
Andhra Pradesh,29 February,0.0,-2.0,4.0,1.0,5.0,1.0,1.0
Andhra Pradesh,01 March,0.0,-2.0,4.0,1.0,5.0,1.0,1.0
Andhra Pradesh,02 March,0.0,1.0,4.0,1.0,9.0,1.0,2.75
Andhra Pradesh,03 March,0.0,2.0,5.0,0.0,7.0,0.0,2.25
Andhra Pradesh,04 March,0.0,5.0,6.0,0.0,6.0,0.0,2.75
Andhra Pradesh,05 March,0.0,5.0,4.0,0.0,5.0,1.0,2.5
Andhra Pradesh,06 March,0.0,4.0,5.0,0.0,7.0,2.0,2.75
Andhra Pradesh,07 March,0.0,4.0,5.0,0.0,7.0,2.0,2.75
Andhra Pradesh,08 March,0.0,4.0,5.0,0.0,7.0,2.0,2.75
Andhra Pradesh,09 March,1.0,3.0,9.0,1.0,4.0,1.0,2.25
Andhra Pradesh,10 March,0.0,4.0,9.0,0.0,-1.0,1.0,0.75
Andhra Pradesh,11 March,-2.0,1.0,5.0,-1.0,2.0,-1.0,0.0
Andhra Pradesh,12 March,-1.0,1.0,4.0,-2.0,2.0,1.0,0.0
Andhra Pradesh,13 March,-4.0,-1.0,3.0,-2.0,3.0,1.0,-1.0
