dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
29 July,Mizoram,395,1.9177550128659513,215,,,11,7.096774193548387,15.6,4.529616724738676,155,20597,16620.617085900758,8.876379470064007,125.07625616908373,332.3333333333333,
30 July,Mizoram,408,1.9617270891431868,234,,,13,6.467661691542289,16.4,5.423280423280423,201,20798,16782.812747126474,10.49026664643928,162.19566122571504,297.3333333333333,
31 July,Mizoram,408,1.9320011364712568,247,,,,,19.0,5.900621118012422,320,21118,17041.034695346516,,258.2219482200438,313.3333333333333,
01 August,Mizoram,413,1.9395134779750165,253,,,5,2.840909090909091,13.0,5.646036916395222,176,21294,17183.056766867543,4.034717940938185,142.02207152102412,252.16666666666666,
02 August,Mizoram,470,2.1837104492868096,258,,,57,24.890829694323145,21.8,9.478260869565217,229,21523,17367.84684856251,45.99578452669531,184.79008169496888,245.0,
03 August,Mizoram,496,2.298104990038456,266,,,26,43.333333333333336,22.5,11.15702479338843,60,21583,17416.263463853767,20.98053329287856,48.41661529125822,218.57142857142858,
04 August,Mizoram,502,2.298008697642481,282,,,6,2.2900763358778624,19.666666666666668,10.895660203139428,262,21845,17627.68268395893,4.841661529125822,211.4192201051609,200.42857142857142,
05 August,Mizoram,505,2.3000546547640734,286,,,3,2.7027027027027026,18.333333333333332,10.587102983638113,111,21956,17717.25342224776,2.420830764562911,89.5707382888277,194.14285714285714,
06 August,Mizoram,538,2.4222232227274776,288,,,33,12.941176470588236,21.666666666666668,11.893870082342177,255,22211,17923.024037235606,26.62913841019202,205.77061498784744,201.85714285714286,
07 August,Mizoram,559,2.5167709693395164,288,,,21,,21.571428571428573,11.893870082342177,,22211,17923.024037235606,16.945815351940375,,182.16666666666666,
08 August,Mizoram,567,2.552789158525055,296,,,8,,22.0,13.631406761177754,,22211,17923.024037235606,6.455548705501096,,183.4,
09 August,Mizoram,608,2.6067569885096895,298,,,41,3.6837376460017968,19.714285714285715,6.0521932259855635,1113,23324,18821.152250888445,33.084687115693114,898.1282136528399,360.2,
10 August,Mizoram,620,2.615813011560206,323,,,12,3.1746031746031744,17.714285714285715,4.483246814535158,378,23702,19126.176927223372,9.683323058251643,305.02467633492677,423.8,
11 August,Mizoram,623,2.6123783965112377,323,,,3,2.0547945205479454,17.285714285714285,4.5931103344982525,146,23848,19243.990691098767,2.420830764562911,117.813763875395,400.6,
12 August,Mizoram,648,2.6029323157260493,330,,,25,2.387774594078319,20.428571428571427,3.8788703640694115,1047,24895,20088.860627931223,20.173589704690926,844.8699368324559,587.8,
13 August,Mizoram,649,2.590404725792289,343,,,1,0.6289308176100629,15.857142857142858,2.884277172001407,159,25054,20217.164658453057,0.806943588187637,128.30403052183428,568.6,
14 August,Mizoram,657,2.5793027638190953,347,,,8,1.9138755980861244,14.0,2.7598896044158234,418,25472,20554.46707831549,6.455548705501096,337.30241986243226,543.5,
15 August,Mizoram,713,2.74981680743569,356,,,56,12.25382932166302,20.857142857142858,3.92684238838085,457,25929,20923.240298117238,45.188840938507674,368.7732198017501,531.1428571428571,
16 August,Mizoram,777,2.9198451768065836,371,,,64,9.3841642228739,24.142857142857142,5.1414663827198055,682,26611,21473.575825261207,51.64438964400877,550.3355271439684,469.57142857142856,
