dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
03 June,Andhra Pradesh,0.8121422574037702,79,0.009794197867592364,70.28571428571429,70.28571428571429,7490.19639635672
04 June,Andhra Pradesh,0.8162268902891479,98,0.009813739234928901,76.57142857142857,76.57142857142857,7675.45375112101
05 June,Andhra Pradesh,0.8090867023637514,50,0.005085952598921778,79.0,79.0,7857.835591165847
06 June,Andhra Pradesh,0.8223039636976176,161,0.012606687025291677,92.0,92.0,8094.759452340969
30 January,Arunachal Pradesh,,,,,,
31 January,Arunachal Pradesh,,,,,,
01 February,Arunachal Pradesh,,,,,,
02 February,Arunachal Pradesh,,,,,,
03 February,Arunachal Pradesh,,,,,,
04 February,Arunachal Pradesh,,,,,,
05 February,Arunachal Pradesh,,,,,,
06 February,Arunachal Pradesh,,,,,,
07 February,Arunachal Pradesh,,,,,,
08 February,Arunachal Pradesh,,,,,,
09 February,Arunachal Pradesh,,,,,,
10 February,Arunachal Pradesh,,,,,,
11 February,Arunachal Pradesh,,,,,,
12 February,Arunachal Pradesh,,,,,,
13 February,Arunachal Pradesh,,,,,,
14 February,Arunachal Pradesh,,,,,,
15 February,Arunachal Pradesh,,,,,,
16 February,Arunachal Pradesh,,,,,,
17 February,Arunachal Pradesh,,,,,,
18 February,Arunachal Pradesh,,,,,,
19 February,Arunachal Pradesh,,,,,,
20 February,Arunachal Pradesh,,,,,,
21 February,Arunachal Pradesh,,,,,,
22 February,Arunachal Pradesh,,,,,,
23 February,Arunachal Pradesh,,,,,,
24 February,Arunachal Pradesh,,,,,,
25 February,Arunachal Pradesh,,,,,,
26 February,Arunachal Pradesh,,,,,,
27 February,Arunachal Pradesh,,,,,,
28 February,Arunachal Pradesh,,,,,,
29 February,Arunachal Pradesh,,,,,,
01 March,Arunachal Pradesh,,,,,,
02 March,Arunachal Pradesh,,,,,,
03 March,Arunachal Pradesh,,,,,,
04 March,Arunachal Pradesh,,,,,,
05 March,Arunachal Pradesh,,,,,,
06 March,Arunachal Pradesh,,,,,,
07 March,Arunachal Pradesh,,,,,,
08 March,Arunachal Pradesh,,,,,,
09 March,Arunachal Pradesh,,,,,,
10 March,Arunachal Pradesh,,,,,,
11 March,Arunachal Pradesh,,,,,,
12 March,Arunachal Pradesh,,,,,,
13 March,Arunachal Pradesh,,,,,,
14 March,Arunachal Pradesh,,,,,,
15 March,Arunachal Pradesh,,,,,,
16 March,Arunachal Pradesh,,,,,,
17 March,Arunachal Pradesh,,,,,,
18 March,Arunachal Pradesh,,,,,,
19 March,Arunachal Pradesh,,,,,,
20 March,Arunachal Pradesh,,,,,,
21 March,Arunachal Pradesh,,,,,,
22 March,Arunachal Pradesh,,,,,,
23 March,Arunachal Pradesh,,,,,,
24 March,Arunachal Pradesh,,,,,,
25 March,Arunachal Pradesh,,,,,,
26 March,Arunachal Pradesh,,,,,,
27 March,Arunachal Pradesh,,,,,,
28 March,Arunachal Pradesh,,,,,,
29 March,Arunachal Pradesh,,,,,,
30 March,Arunachal Pradesh,,,,,,
31 March,Arunachal Pradesh,,,,,,
01 April,Arunachal Pradesh,,,,,,
02 April,Arunachal Pradesh,,,,,,
03 April,Arunachal Pradesh,,,,,,
04 April,Arunachal Pradesh,,,,,,
05 April,Arunachal Pradesh,,,,,,
06 April,Arunachal Pradesh,,,,,,
