state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Arunachal Pradesh,20 March,-7,-4,16,-3,4,-1,-2.5
Arunachal Pradesh,21 March,-7,-4,16,-3,4,-1,-2.5
Arunachal Pradesh,22 March,-7,-4,16,-3,4,-1,-2.5
Arunachal Pradesh,23 March,-15,0,15,-19,-2,1,-9.0
Arunachal Pradesh,24 March,-53,-50,4,-36,-23,9,-40.5
Arunachal Pradesh,25 March,-60,-57,-6,-42,-30,13,-47.25
Arunachal Pradesh,26 March,-61,-59,-12,-46,-33,16,-49.75
Arunachal Pradesh,27 March,-61,-60,-10,-48,-30,17,-49.75
Arunachal Pradesh,28 March,-61,-60,-10,-48,-30,17,-49.75
Arunachal Pradesh,29 March,-61,-60,-10,-48,-30,17,-49.75
Arunachal Pradesh,30 March,-62,-61,-10,-45,-28,17,-49.0
Arunachal Pradesh,31 March,-62,-62,-9,-43,-30,17,-49.25
Arunachal Pradesh,01 April,-62,-54,-12,-44,-30,16,-47.5
Arunachal Pradesh,02 April,-62,-58,-15,-46,-33,18,-49.75
Arunachal Pradesh,03 April,-61,-61,-11,-50,-28,17,-50.0
Arunachal Pradesh,04 April,-61,-61,-11,-50,-28,17,-50.0
Arunachal Pradesh,05 April,-61,-61,-11,-50,-28,17,-50.0
Arunachal Pradesh,06 April,-65,-65,-10,-52,-29,18,-52.75
Arunachal Pradesh,07 April,-71,-55,3,-57,-32,18,-53.75
Arunachal Pradesh,08 April,-71,-52,1,-61,-30,18,-53.5
Arunachal Pradesh,09 April,-71,-53,-3,-60,-32,18,-54.0
Arunachal Pradesh,10 April,-71,-52,9,-63,-31,17,-54.25
Arunachal Pradesh,11 April,-71,-52,9,-63,-31,17,-54.25
Arunachal Pradesh,12 April,-71,-52,9,-63,-31,17,-54.25
Arunachal Pradesh,13 April,-70,-49,5,-58,-26,18,-50.75
Arunachal Pradesh,14 April,-70,-48,8,-58,-32,18,-52.0
Arunachal Pradesh,15 April,-68,-44,,-55,-23,14,-47.5
Arunachal Pradesh,16 April,-73,-41,,-56,-27,14,-49.25
Arunachal Pradesh,17 April,-72,-40,,-57,-23,16,-48.0
Arunachal Pradesh,18 April,-72,-40,,-57,-23,16,-48.0
Arunachal Pradesh,19 April,-72,-40,,-57,-23,16,-48.0
Arunachal Pradesh,20 April,-76,-43,-15,-60,-24,18,-50.75
Arunachal Pradesh,21 April,-75,-40,-15,-57,-26,16,-49.5
Arunachal Pradesh,22 April,-75,-42,-19,-61,-25,15,-50.75
Arunachal Pradesh,23 April,-74,-43,-19,-60,-27,17,-51.0
Arunachal Pradesh,24 April,-74,-43,-17,-63,-23,18,-50.75
Arunachal Pradesh,25 April,-74,-43,-17,-63,-23,18,-50.75
Arunachal Pradesh,26 April,-74,-43,-17,-63,-23,18,-50.75
Arunachal Pradesh,27 April,-73,-35,-14,-60,-22,16,-47.5
Arunachal Pradesh,28 April,-71,-32,-13,-55,-22,12,-45.0
Arunachal Pradesh,29 April,-71,-33,-13,-57,-21,13,-45.5
Arunachal Pradesh,30 April,-70,-31,-13,-55,-22,13,-44.5
Arunachal Pradesh,01 May,-70,-33,-14,-61,-20,14,-46.0
Arunachal Pradesh,02 May,-70,-33,-14,-61,-20,14,-46.0
Arunachal Pradesh,03 May,-70,-33,-14,-61,-20,14,-46.0
Arunachal Pradesh,04 May,-66,-18,-10,-52,-15,11,-37.75
Arunachal Pradesh,05 May,-65,-9,-9,-47,-16,9,-34.25
