dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
03 February,S.A.S. Nagar,,,,,,,,,,,,,,,
04 February,S.A.S. Nagar,,,,,,,,,,,,,,,
05 February,S.A.S. Nagar,,,,,,,,,,,,,,,
06 February,S.A.S. Nagar,,,,,,,,,,,,,,,
07 February,S.A.S. Nagar,,,,,,,,,,,,,,,
08 February,S.A.S. Nagar,,,,,,,,,,,,,,,
09 February,S.A.S. Nagar,,,,,,,,,,,,,,,
10 February,S.A.S. Nagar,,,,,,,,,,,,,,,
11 February,S.A.S. Nagar,,,,,,,,,,,,,,,
12 February,S.A.S. Nagar,,,,,,,,,,,,,,,
13 February,S.A.S. Nagar,,,,,,,,,,,,,,,
14 February,S.A.S. Nagar,,,,,,,,,,,,,,,
15 February,S.A.S. Nagar,,,,,,,,,,,,,,,
16 February,S.A.S. Nagar,,,,,,,,,,,,,,,
17 February,S.A.S. Nagar,,,,,,,,,,,,,,,
18 February,S.A.S. Nagar,,,,,,,,,,,,,,,
19 February,S.A.S. Nagar,,,,,,,,,,,,,,,
20 February,S.A.S. Nagar,,,,,,,,,,,,,,,
21 February,S.A.S. Nagar,,,,,,,,,,,,,,,
22 February,S.A.S. Nagar,,,,,,,,,,,,,,,
23 February,S.A.S. Nagar,,,,,,,,,,,,,,,
24 February,S.A.S. Nagar,,,,,,,,,,,,,,,
25 February,S.A.S. Nagar,,,,,,,,,,,,,,,
26 February,S.A.S. Nagar,,,,,,,,,,,,,,,
27 February,S.A.S. Nagar,,,,,,,,,,,,,,,
28 February,S.A.S. Nagar,,,,,,,,,,,,,,,
29 February,S.A.S. Nagar,,,,,,,,,,,,,,,
01 March,S.A.S. Nagar,,,,,,,,,,,,,,,
02 March,S.A.S. Nagar,,,,,,,,,,,,,,,
03 March,S.A.S. Nagar,,,,,,,,,,,,,,,
04 March,S.A.S. Nagar,,,,,,,,,,,,,,,
05 March,S.A.S. Nagar,,,,,,,,,,,,,,,
06 March,S.A.S. Nagar,,,,,,,,,,,,,,,
07 March,S.A.S. Nagar,,,,,,,,,,,,,,,
08 March,S.A.S. Nagar,,,,,,,,,,,,,,,
09 March,S.A.S. Nagar,,,,,,,,,,,,,,,
10 March,S.A.S. Nagar,,,,,,,,,,,,,,,
11 March,S.A.S. Nagar,,,,,,,,,,,,,,,
12 March,S.A.S. Nagar,,,,,,,,,,,,,,,
13 March,S.A.S. Nagar,,,,,,,,,,,,,,,
14 March,S.A.S. Nagar,,,,,,,,,,,,,,,
15 March,S.A.S. Nagar,,,,,,,,,,,,,,,
16 March,S.A.S. Nagar,,,,,,,,,,,,,,,
17 March,S.A.S. Nagar,,,,,,,,,,,,,,,
18 March,S.A.S. Nagar,,,,,,,,,,,,,,,
19 March,S.A.S. Nagar,,,,,,,,,,,,,,,
20 March,S.A.S. Nagar,,,,,,,,,,,,,,,
21 March,S.A.S. Nagar,,,,,,,,,,,,,,,
22 March,S.A.S. Nagar,,,,,,,,,,,,,,,
23 March,S.A.S. Nagar,,,,,,,,,,,,,,,
24 March,S.A.S. Nagar,,,,,,,,,,,,,,,
25 March,S.A.S. Nagar,,,,,,,,,,,,,,,
26 March,S.A.S. Nagar,,,,,,,,,,,,,,,
27 March,S.A.S. Nagar,,,,,,,,,,,,,,,
28 March,S.A.S. Nagar,,,,,,,,,,,,,,,
29 March,S.A.S. Nagar,,,,,,,,,,,,,,,
30 March,S.A.S. Nagar,,,,,,,,,,,,,,,
31 March,S.A.S. Nagar,,,,,,,,,,,,,,,
01 April,S.A.S. Nagar,,,,,,,,,,,,,,,
02 April,S.A.S. Nagar,,,,,,,,,,,,,,,
03 April,S.A.S. Nagar,,,,,,,,,,,,,,,
04 April,S.A.S. Nagar,,,,,,,,,,,,,,,
05 April,S.A.S. Nagar,,,,,,,,,,,,,,,
06 April,S.A.S. Nagar,,,,,,,,,,,,,,,
07 April,S.A.S. Nagar,,,,,,,,,,,,,,,
08 April,S.A.S. Nagar,,,,,,,,,,,,,,,
09 April,S.A.S. Nagar,,,,,,,,,,,,,,,
10 April,S.A.S. Nagar,,,,,,,,,,,,,,,
11 April,S.A.S. Nagar,,,,,,,,,,,,,,,
12 April,S.A.S. Nagar,,,,,,,,,,,,,,,
13 April,S.A.S. Nagar,,,,,,,,,,,,,,,
14 April,S.A.S. Nagar,,,,,,,,,,,,,,,
15 April,S.A.S. Nagar,,,,,,,,,,,,,,,
16 April,S.A.S. Nagar,,,,,,,,,,,,,,,
17 April,S.A.S. Nagar,,,,,,,,,,,,,,,
18 April,S.A.S. Nagar,,,,,,,,,,,,,,,
19 April,S.A.S. Nagar,,,,,,,,,,,,,,,
20 April,S.A.S. Nagar,,,,,,,,,,,,,,,
21 April,S.A.S. Nagar,,,,,,,,,,,,,,,
22 April,S.A.S. Nagar,,,,,,,,,,,,,,,
23 April,S.A.S. Nagar,,,,,,,,,,,,,,,
24 April,S.A.S. Nagar,,,,,,,,,,,,,,,
25 April,S.A.S. Nagar,,,,,,,,,,,,,,,
26 April,S.A.S. Nagar,63,,22,2,,,,,,,,,,,
27 April,S.A.S. Nagar,63,,28,2,,,,,,,,,,,
28 April,S.A.S. Nagar,65,,31,2,2,,2.0,,,,,12.064812170982519,,,
29 April,S.A.S. Nagar,73,,31,2,8,,5.0,,,,,33.178233470201924,,,
30 April,S.A.S. Nagar,86,,31,2,13,,7.666666666666667,,,,,105.56710649609704,,,
01 May,S.A.S. Nagar,92,,31,2,6,,7.25,,,,,105.56710649609704,,,
02 May,S.A.S. Nagar,94,,34,2,2,,6.2,,,,,188.0099896644776,,,
03 May,S.A.S. Nagar,95,,36,2,1,,5.333333333333333,,,,,331.7823347020192,,,
04 May,S.A.S. Nagar,95,,43,2,,,5.333333333333333,,,,,,,,
05 May,S.A.S. Nagar,95,,43,2,,,6.0,,,,,,,,
06 May,S.A.S. Nagar,95,,43,2,,,5.5,,,,,,,,
07 May,S.A.S. Nagar,95,,49,2,,,3.0,,,,,,,,
08 May,S.A.S. Nagar,95,,52,3,,,1.5,,,,,,,,1.0
09 May,S.A.S. Nagar,95,,52,3,,,1.0,,,,,,,,1.0
10 May,S.A.S. Nagar,102,,54,3,7,,7.0,,,,,61.329461869161136,,,1.0
11 May,S.A.S. Nagar,102,,54,3,,,7.0,,,,,,,,1.0
12 May,S.A.S. Nagar,102,,55,3,,,7.0,,,,,,,,1.0
13 May,S.A.S. Nagar,102,,57,3,,,7.0,,,,,,,,1.0
14 May,S.A.S. Nagar,102,,57,3,,,7.0,,,,,,,,1.0
15 May,S.A.S. Nagar,102,,60,3,,,7.0,,,,,,,,
16 May,S.A.S. Nagar,102,,95,3,,,7.0,,,,,,,,
17 May,S.A.S. Nagar,102,,95,3,,,,,,,,,,,
18 May,S.A.S. Nagar,102,,97,3,,,,,,,,,,,
19 May,S.A.S. Nagar,102,,97,3,,,,,,,,,,,
20 May,S.A.S. Nagar,102,,97,3,,,,,,,,,,,
