dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
15 May,ct,2.043096041511392,0.2724211145257854,1.5091615538854337,2.57703052913735,1.859350723974895,2.226841359047889,0.7,0.6403124237432848,05-09-2020
16 May,ct,2.003482063914186,0.23649679798410692,1.5399577997372558,2.467006328091116,1.8439673386418856,2.162996789186486,1.3,1.4866068747318506,05-10-2020
17 May,ct,2.0376652980600833,0.21207447370885996,1.6220078125696662,2.4533227835505005,1.8946231862881944,2.1807074098319723,2.0,1.5491933384829668,05-11-2020
18 May,ct,2.033958806785615,0.18949635989643082,1.6625535212430065,2.4053640923282233,1.9061454069990713,2.1617722065721585,3.4,1.6852299546352716,05-12-2020
19 May,ct,1.9121736814313213,0.16360190289647067,1.5915204958303546,2.232826867032288,1.8018258339466808,2.022521528915962,7.3,2.451530134426253,05-13-2020
20 May,ct,1.7558727222746249,0.13934760209246963,1.4827569960774682,2.0289884484717815,1.6618841581392751,1.8498612864099746,9.8,1.7204650534085253,05-14-2020
21 May,ct,1.669486106647895,0.12220765438746288,1.4299639923546432,1.9090082209411467,1.5870582658400951,1.7519139474556948,10.9,2.8442925306655784,05-15-2020
22 May,ct,1.5508360781654678,0.10711483577377011,1.3408952846423092,1.7607768716886263,1.4785881925844175,1.623083963746518,13.7,3.769615364994153,05-16-2020
23 May,ct,1.431994917380797,0.09410980249912708,1.2475434688746079,1.6164463658869863,1.368518796693161,1.4954710380684333,14.0,4.711687595755898,05-17-2020
24 May,ct,1.333484448829534,0.08429346071886262,1.168272637558992,1.4986962601000762,1.2766293525092685,1.3903395451497997,19.6,4.176122603564219,05-18-2020
25 May,ct,1.2475621034499509,0.0768665150189221,1.0969068086734644,1.3982173982264374,1.1957164077348381,1.2994077991650637,28.5,4.716990566028302,05-19-2020
26 May,ct,1.193606948215886,0.07220437503151735,1.0520892613291133,1.3351246351026587,1.1449058193008779,1.242308077130894,36.7,4.148493702538308,05-20-2020
27 May,ct,1.1792936744916331,0.06979287698255292,1.0425024273209087,1.3160849216623576,1.132219076895671,1.2263682720875952,40.4,4.608687448721165,05-21-2020
28 May,ct,1.2030227359097951,0.0689877364296879,1.067809532017064,1.3382359398025263,1.156491197565335,1.2495542742542554,38.8,4.894895300208167,05-22-2020
29 May,ct,1.212358470912761,0.06772832899266079,1.0796136552203057,1.3451032866052164,1.1666763902905013,1.2580405515350208,42.4,5.76541412215983,05-23-2020
30 May,ct,1.292661963896111,0.0683290004495957,1.1587398561749214,1.4265840716173006,1.2465747363828632,1.3387491914093588,37.7,4.026164427839479,05-24-2020
31 May,ct,1.4527463019107898,0.07074323414107844,1.3140923927236416,1.591400211097938,1.4050306979149738,1.5004619059066058,29.3,6.664082832618454,05-25-2020
01 June,ct,1.468878910466259,0.0696654466867441,1.332337421578108,1.6054203993544098,1.4218902633305168,1.515867557602001,28.4,3.903844259188627,05-26-2020
02 June,ct,1.4410680316207372,0.06630542575965902,1.311112049348836,1.5710240138926383,1.3963456850001048,1.4857903782413695,30.7,5.25452186216786,05-27-2020
03 June,ct,1.4174960604322913,0.062499890870357046,1.2949987743220264,1.5399933465425562,1.3753405090391442,1.4596516118254383,38.4,6.959885056522126,05-28-2020
04 June,ct,1.34821562036272,0.05765272622488596,1.2352185830709925,1.4612126576544475,1.3093294330512968,1.3871018076741433,47.5,7.1449282711585,05-29-2020
05 June,ct,1.2527971673560088,0.05205726243280884,1.1507670152782008,1.3548273194338167,1.2176850644177035,1.287909270294314,55.9,5.664803615307418,05-30-2020
06 June,ct,1.198000032779063,0.04787524053998286,1.104166476330318,1.2918335892278079,1.1657086617872499,1.230291403770876,60.4,6.726068688320095,05-31-2020
07 June,ct,1.171603960468494,0.04541889262535521,1.0825847476785029,1.2606231732584852,1.1409693715816183,1.2022385493553698,78.9,7.955501241279521,06-01-2020
08 June,ct,1.100478561255875,0.04274144880516154,1.0167070312557105,1.1842500912560394,1.0716498814512816,1.1293072410604683,110.0,10.779610382569492,06-02-2020
09 June,ct,1.0741590322907597,0.041263056277098316,0.993285092509898,1.1550329720716213,1.0463275134624197,1.1019905511190997,97.3,6.181423784210237,06-03-2020
10 June,ct,1.050598248329937,0.04040398576139113,0.9714080523970409,1.1297884442628332,1.0233461639737362,1.0778503326861377,93.3,7.681796664843453,06-04-2020
11 June,ct,1.0009352798895423,0.03929465150898589,0.9239193347179904,1.0779512250610943,0.9744314303932464,1.0274391293858383,101.7,5.496362433464518,06-05-2020
12 June,ct,0.9833243249562132,0.039088998980971346,0.9067114505134687,1.059937199398958,0.9569591860335379,1.0096894638788887,87.6,10.150862032359617,06-06-2020
13 June,ct,1.023447784951167,0.0402330307198019,0.944592654061584,1.1023029158407498,0.9963110080609677,1.050584561841366,66.2,6.4,06-07-2020
14 June,ct,1.039252289589494,0.0403811488835137,0.9601068530237625,1.1183977261552256,1.0120156084790528,1.0664889706999352,69.2,9.927738916792686,06-08-2020
15 June,ct,1.022825814685579,0.039830424728308625,0.9447597754350834,1.1008918539360748,0.9959605915105822,1.049691037860576,92.4,8.368990381163071,06-09-2020
16 June,ct,1.020642682418646,0.0397320921322369,0.9427693711231471,1.098515993714145,0.9938437835963736,1.0474415812409186,91.0,7.912016177940993,06-10-2020
17 June,ct,1.0168962124296947,0.03957702599461096,0.939326824561297,1.0944656002980924,0.9902019041665896,1.0435905206927998,90.3,9.839207285142438,06-11-2020
18 June,ct,0.9969689403012291,0.03911937062211143,0.9202965386567156,1.0736413419457427,0.9705833160103211,1.023354564592137,83.7,5.933801479658719,06-12-2020
